 aqi, level, so2, no2, pm10, pm2_5, o3, co
26,1,6,13,26,14,37,0.6
27,1,6,19,26,12,53,0.5
103,3,9,44,103,77,43,0.9
24,1,11,19,23,12,37,0.7
127,3,13,22,203,46,71,0.5
44,1,6,11,31,14,88,0.5
34,1,12,17,34,23,68,0.6
65,2,10,19,60,32,117,0.7
20,1,9,15,20,10,27,0.7
47,1,8,14,47,31,86,0.6
132,3,9,61,129,100,64,1.3
103,3,14,67,125,77,68,1
62,2,8,17,67,44,105,0.7
28,1,5,10,13,4,55,0.4
25,1,9,19,25,15,24,0.6
48,1,10,17,48,28,77,0.7
133,3,14,49,138,101,106,1.2
103,3,12,24,95,77,94,0.7
98,2,11,26,128,71,157,0.8
39,1,6,13,20,8,77,0.6
67,2,13,25,62,48,41,0.9
30,1,10,21,23,12,59,0.8
103,3,10,53,103,77,25,1.7
27,1,5,13,14,5,53,0.6
103,3,12,44,61,32,163,0.8
62,2,16,22,62,44,58,1
63,2,10,20,70,45,109,0.7
38,1,12,16,38,25,62,0.7
112,3,17,37,78,48,173,0.8
65,2,35,37,80,42,71,0.8
30,1,6,15,25,9,60,0.4
77,2,17,29,79,56,58,0.9
25,1,11,14,14,10,49,0.6
70,2,37,41,89,44,89,0.9
44,1,6,14,30,14,87,0.4
48,1,7,13,31,13,96,0.5
63,2,26,32,75,41,56,0.7
30,1,6,12,25,10,60,0.4
127,3,13,22,203,46,71,0.5
60,2,7,18,69,33,109,0.6
28,1,8,17,28,16,48,0.7
40,1,13,11,31,20,79,0.5
67,2,13,25,62,48,41,0.9
31,1,6,13,31,14,56,0.5
98,2,26,36,100,73,61,0.9
138,3,16,69,225,87,126,1
38,1,6,18,23,12,76,0.6
23,1,8,11,19,12,46,0.5
127,3,13,22,203,46,71,0.5
45,1,14,22,43,31,37,0.9
48,1,7,13,31,13,96,0.5
77,2,5,20,48,24,132,0.6
125,3,6,20,43,24,187,0.9
33,1,5,13,29,13,66,0.5
112,3,56,61,141,84,96,1.4
48,1,6,16,36,17,95,0.5
29,1,8,16,24,13,57,0.7
29,1,5,11,29,13,56,0.5
56,2,15,22,61,36,80,0.7
90,2,14,28,129,52,99,0.8
32,1,8,25,23,13,38,0.6
51,2,5,13,42,23,101,0.6
116,3,10,29,47,26,177,0.7
29,1,6,10,23,6,57,0.3
46,1,12,25,46,28,35,0.9
54,2,8,19,58,30,74,0.6
38,1,15,21,38,25,48,0.8
35,1,14,24,35,18,21,0.9
60,2,21,29,70,43,70,0.8
144,3,10,47,237,54,62,0.9
28,1,5,22,24,11,51,0.6
65,2,10,29,79,44,98,0.8
32,1,6,16,23,12,63,0.7
139,3,14,74,138,106,39,1.5
29,1,9,23,27,12,38,0.7
34,1,6,12,16,6,67,0.7
32,1,10,16,32,18,61,0.6
59,2,10,20,67,42,99,0.6
24,1,10,14,20,9,48,0.6
51,2,21,18,51,29,64,0.6
114,3,6,12,44,27,175,0.8
33,1,6,18,24,14,66,0.6
49,1,12,13,45,34,62,0.6
54,2,16,13,49,38,84,0.7
95,2,32,49,114,71,73,1
54,2,16,13,49,38,84,0.7
22,1,9,15,22,11,28,0.8
48,1,10,20,42,33,66,0.7
36,1,6,17,26,12,72,0.5
26,1,6,15,25,9,52,0.4
90,2,14,28,129,52,99,0.8
62,2,7,15,64,33,114,0.6
41,1,5,13,27,13,81,0.4
58,2,13,29,66,39,101,0.7
134,3,5,16,39,23,197,0.7
113,3,70,62,158,85,77,1.5
44,1,14,19,44,28,87,0.8
30,1,5,24,16,8,39,0.6
55,2,7,21,42,19,106,0.5
33,1,7,15,25,12,65,0.5
47,1,6,19,40,22,94,0.6
83,2,9,28,92,50,139,0.8
30,1,11,21,30,17,28,1
114,3,12,64,177,36,43,0.8
51,2,5,16,51,26,84,0.6
43,1,5,15,22,9,86,0.5
105,3,6,26,159,57,104,0.5
108,3,11,47,128,81,74,1.1
35,1,12,27,32,24,32,0.8
107,3,10,52,109,80,27,1
39,1,5,13,26,9,77,0.4
38,1,17,15,32,18,75,0.5
32,1,6,13,20,6,64,0.5
96,2,10,29,114,68,155,0.9
26,1,6,15,25,14,51,0.5
30,1,11,24,30,21,48,1
28,1,5,12,23,7,55,0.5
114,3,16,63,100,86,102,1.2
148,3,6,26,66,32,212,1
40,1,7,29,40,20,72,0.9
62,2,8,27,73,28,107,0.5
56,2,8,23,60,36,107,1
56,2,9,40,62,27,54,1
76,2,7,24,34,18,131,0.8
93,2,5,26,48,27,151,0.7
68,2,8,44,81,49,70,0.8
138,3,10,70,119,105,33,1.5
54,2,11,43,53,28,54,1
54,2,13,36,57,27,44,1.2
129,3,8,53,112,98,96,1
65,2,7,34,75,47,108,0.9
95,2,13,44,65,23,153,0.9
65,2,13,52,66,30,94,0.8
103,3,6,20,77,43,163,1.1
70,2,14,46,89,41,61,0.8
68,2,7,31,85,27,99,0.4
73,2,11,46,63,25,127,0.7
59,2,6,27,62,17,110,0.4
57,2,5,31,63,39,68,0.7
140,3,8,32,230,37,76,0.5
75,2,7,27,26,13,129,0.7
58,2,4,21,66,10,72,0.3
37,1,6,28,37,14,60,0.5
129,3,6,30,208,40,70,0.6
122,3,6,63,87,92,51,1.1
98,2,5,23,57,34,157,0.9
58,2,8,43,62,41,48,0.9
119,3,8,20,70,37,180,1.5
64,2,10,45,77,31,61,0.7
79,2,8,31,45,19,134,0.6
108,3,7,24,64,34,168,1.1
97,2,11,48,110,72,142,0.9
55,2,6,28,29,10,106,0.5
82,2,7,33,49,20,138,0.7
30,1,7,19,30,12,52,0.5
104,3,8,37,157,53,61,0.9
118,3,11,26,65,31,179,0.8
110,3,14,63,96,83,50,1.5
42,1,5,21,19,16,84,0.6
126,3,8,21,82,46,188,0.8
42,1,6,13,5,3,83,0.7
94,2,5,31,137,24,89,0.4
84,2,12,67,73,58,41,1
43,1,5,19,35,8,86,0.4
105,3,8,24,60,34,165,0.8
98,2,10,39,57,29,157,0.8
79,2,12,51,94,58,113,0.8
98,2,10,50,105,73,30,1.6
130,3,7,51,116,99,39,1.2
61,2,12,44,71,35,62,0.8
40,1,6,14,24,13,79,0.5
85,2,7,20,28,17,141,1.1
109,3,9,46,99,82,102,0.9
61,2,9,33,65,37,113,1.2
70,2,6,22,89,30,99,0.4
93,2,8,48,97,69,55,1.2
72,2,8,22,60,52,58,1.1
77,2,14,61,87,34,35,0.9
63,2,8,47,74,45,64,0.9
105,3,8,51,88,79,48,1.1
82,2,8,40,50,15,138,0.4
48,1,6,29,48,29,75,0.9
75,2,8,32,46,23,130,0.8
53,2,6,29,49,28,103,0.9
86,2,8,28,42,22,143,0.9
64,2,10,46,67,46,90,1
96,2,8,24,55,26,155,0.8
100,2,8,46,106,75,71,1
52,2,9,25,30,14,102,0.8
68,2,6,22,46,25,121,1
68,2,9,38,86,28,58,0.8
41,1,5,20,27,16,82,0.8
67,2,9,42,74,48,80,0.9
120,3,6,15,47,25,181,0.7
138,3,6,51,120,105,74,1.2
120,3,6,18,34,17,181,0.8
70,2,9,37,86,25,123,0.9
84,2,12,43,118,51,94,0.7
44,1,6,28,42,30,88,0.8
49,1,5,22,31,16,98,0.8
55,2,8,34,60,39,105,1
62,2,9,33,50,26,114,0.8
80,2,6,14,25,20,136,0.7
81,2,14,60,112,46,98,0.9
67,2,10,49,83,47,109,0.8
138,3,16,69,225,87,126,1
60,2,6,25,31,10,111,0.4
77,2,7,37,41,15,132,0.4
90,2,5,37,77,67,59,1
133,3,14,49,138,101,106,1.2
114,3,16,63,100,86,102,1.2
110,3,11,49,96,83,96,1.3
88,2,7,22,126,18,58,0.5
64,2,17,43,78,41,102,0.8
94,2,6,27,38,20,152,0.9
50,1,8,34,29,14,99,0.9
114,3,12,64,177,36,43,0.8
96,2,5,26,96,45,155,1.1
69,2,10,55,64,40,119,0.7
41,1,5,15,25,11,81,0.6
94,2,7,20,63,41,152,0.9
78,2,6,20,29,13,133,0.6
72,2,10,31,94,34,123,0.6
37,1,7,29,31,12,66,0.5
124,3,11,48,198,58,109,0.8
105,3,6,26,159,57,104,0.5
83,2,8,35,43,14,139,0.5
139,3,6,19,39,22,202,0.8
127,3,7,30,48,25,189,0.7
60,2,4,19,54,43,98,1.1
131,3,9,37,89,45,194,1.2
65,2,9,30,40,23,117,0.8
40,1,6,25,40,25,57,0.8
82,2,5,17,44,23,138,0.9
121,3,9,24,192,68,122,0.6
128,3,14,66,125,97,81,1.2
57,2,5,13,38,22,108,0.8
80,2,11,53,110,47,68,0.8
98,2,12,53,94,73,54,1.3
113,3,9,29,60,28,174,0.9
68,2,11,46,85,47,83,0.8
55,2,9,44,59,37,97,0.8
49,1,8,26,49,20,69,0.7
75,2,13,60,94,46,49,1.1
110,3,5,20,61,36,171,0.7
105,3,5,24,35,21,165,0.7
85,2,9,20,36,16,141,0.6
84,2,10,38,75,36,140,0.9
64,2,7,18,34,17,116,0.8
68,2,6,21,26,15,121,0.6
65,2,10,52,75,36,94,1
93,2,6,21,45,26,151,0.8
70,2,7,21,83,21,124,0.4
134,3,12,54,218,81,48,1
101,3,9,21,61,32,161,1
82,2,10,48,114,49,73,0.8
50,1,8,23,50,20,64,0.6
144,3,10,47,237,54,62,0.9
67,2,5,14,15,8,120,0.8
122,3,5,22,42,23,184,0.8
140,3,5,17,229,66,90,0.4
32,1,6,18,22,10,64,0.7
46,1,5,19,25,8,91,0.4
70,2,7,32,47,20,123,0.6
79,2,18,63,85,51,18,1.4
59,2,8,37,68,23,56,0.7
47,1,6,26,38,21,94,1.3
91,2,12,38,132,57,149,0.8
63,2,6,28,55,21,115,0.6
108,3,11,47,128,81,74,1.1
132,3,9,61,129,100,64,1.3
139,3,5,15,227,71,112,0.4
44,1,5,9,24,14,88,0.8
149,3,14,55,247,65,35,1
77,2,17,60,80,56,28,1.7
77,2,7,21,41,22,132,0.8
86,2,11,41,122,48,82,0.7
82,2,11,50,113,46,31,1.1
89,2,11,42,98,66,81,1
36,1,6,23,32,19,71,1
97,2,6,20,46,24,156,0.9
55,2,10,43,46,18,105,1
78,2,13,60,105,53,43,1.2
130,3,7,29,105,56,193,1.1
49,1,5,23,28,18,97,0.7
73,2,9,32,77,50,127,0.7
53,2,9,42,53,22,53,0.6
106,3,8,22,68,30,166,0.7
34,1,6,27,30,11,61,0.5
114,3,6,12,44,27,175,0.8
136,3,6,33,86,53,199,1.1
66,2,6,31,34,13,119,0.5
94,2,6,17,37,20,152,0.8
45,1,7,30,45,19,90,0.7
138,3,11,71,160,105,82,1.1
91,2,6,22,61,32,149,1.1
122,3,12,60,137,92,64,1.1
73,2,10,26,39,19,127,0.8
54,2,7,33,58,22,66,0.6
66,2,6,26,55,34,119,1
98,2,8,26,68,45,157,1.3
65,2,6,18,46,27,117,0.8
38,1,6,20,31,15,76,0.6
103,3,5,12,31,17,163,0.7
74,2,5,18,34,23,128,1
41,1,10,29,41,14,62,0.7
40,1,5,10,32,13,80,0.5
44,1,6,24,31,18,88,0.8
61,2,8,26,45,17,113,0.6
60,2,5,15,31,21,112,0.8
130,3,8,24,81,52,192,0.9
115,3,13,65,163,87,141,1
100,2,13,47,137,69,160,0.9
70,2,6,16,27,13,123,0.7
40,1,6,32,34,14,58,0.5
123,3,12,28,65,23,185,0.7
50,1,5,30,37,18,99,0.5
109,3,7,28,42,22,169,0.8
113,3,6,28,50,25,174,0.8
65,2,8,26,42,13,118,0.6
58,2,8,34,64,41,106,1
139,3,14,74,138,106,39,1.5
72,2,6,18,30,15,126,0.6
56,2,6,21,56,24,107,0.5
61,2,10,24,71,32,71,0.7
37,1,5,13,22,11,74,0.4
74,2,15,56,79,54,21,1.6
85,2,4,17,31,18,141,0.8
65,2,4,21,79,41,78,0.6
45,1,7,30,45,23,87,0.6
61,2,5,14,23,14,113,0.7
98,2,6,15,50,30,157,0.9
